,drug,interaction,food,common_compound
158,Digoxin,increase_adverse_effects,Bamboo shoots,glycine
124,Digoxin,increase_adverse_effects,Banana,glycine
58,Digoxin,increase_adverse_effects,Barley,glycine
357,Digoxin,increase_adverse_effects,Bean,glycine
268,Digoxin,increase_adverse_effects,Bearded seal,glycine
160,Digoxin,increase_adverse_effects,Beech nut,glycine
140,Digoxin,increase_adverse_effects,Beer,glycine
161,Digoxin,increase_adverse_effects,Beluga whale,glycine
145,Digoxin,increase_adverse_effects,Biscuit,glycine
314,Digoxin,increase_adverse_effects,"Bivalvia (Clam, Mussel, Oyster)",glycine
133,Digoxin,increase_adverse_effects,Black cabbage,glycine
524,Digoxin,increase_adverse_effects,Black tea,glycine
61,Digoxin,increase_adverse_effects,Black walnut,glycine
308,Digoxin,increase_adverse_effects,Black-eyed pea,glycine
162,Digoxin,increase_adverse_effects,Blue crab,glycine
163,Digoxin,increase_adverse_effects,Blue mussel,glycine
165,Digoxin,increase_adverse_effects,Bluefish,glycine
18,Digoxin,increase_adverse_effects,Brazil nut,glycine
166,Digoxin,increase_adverse_effects,Breadfruit,glycine
167,Digoxin,increase_adverse_effects,Breadnut tree seed,glycine
142,Digoxin,increase_adverse_effects,Breakfast cereal,glycine
451,Digoxin,increase_adverse_effects,Breakfast sandwich,glycine
117,Digoxin,increase_adverse_effects,Broad bean,glycine
24,Digoxin,increase_adverse_effects,Broccoli,glycine
23,Digoxin,increase_adverse_effects,Brussel sprouts,glycine
437,Digoxin,increase_adverse_effects,Bulgur,glycine
169,Digoxin,increase_adverse_effects,Burbot,glycine
13,Digoxin,increase_adverse_effects,Burdock,glycine
407,Digoxin,increase_adverse_effects,Burrito,glycine
369,Digoxin,increase_adverse_effects,Butter,glycine
453,Digoxin,increase_adverse_effects,Butterfat,glycine
398,Digoxin,increase_adverse_effects,Buttermilk,glycine
171,Digoxin,increase_adverse_effects,Butternut,glycine
172,Digoxin,increase_adverse_effects,Butternut squash,glycine
506,Digoxin,increase_adverse_effects,Cabbage,glycine
360,Digoxin,increase_adverse_effects,Cake,glycine
32,Digoxin,increase_adverse_effects,Caraway,glycine
173,Digoxin,increase_adverse_effects,Carob,glycine
131,Digoxin,increase_adverse_effects,Carrot,glycine
376,Digoxin,increase_adverse_effects,Casein,glycine
8,Digoxin,increase_adverse_effects,Cashew nut,glycine
175,Digoxin,increase_adverse_effects,Cassava,glycine
349,Digoxin,increase_adverse_effects,Catfish,glycine
189,Digoxin,increase_adverse_effects,Catjang pea,glycine
289,Digoxin,increase_adverse_effects,"Cattle (Beef, Veal)",glycine
22,Digoxin,increase_adverse_effects,Cauliflower,glycine
125,Digoxin,increase_adverse_effects,Celeriac,glycine
134,Digoxin,increase_adverse_effects,Celery leaves,glycine
176,Digoxin,increase_adverse_effects,Channel catfish,glycine
177,Digoxin,increase_adverse_effects,Chayote,glycine
353,Digoxin,increase_adverse_effects,Cheese,glycine
178,Digoxin,increase_adverse_effects,Cherimoya,glycine
179,Digoxin,increase_adverse_effects,Chervil,glycine
34,Digoxin,increase_adverse_effects,Chestnut,glycine
180,Digoxin,increase_adverse_effects,Chia,glycine
35,Digoxin,increase_adverse_effects,Chickpea,glycine
37,Digoxin,increase_adverse_effects,Chicory,glycine
410,Digoxin,increase_adverse_effects,Chili,glycine
439,Digoxin,increase_adverse_effects,Chimichanga,glycine
25,Digoxin,increase_adverse_effects,Chinese cabbage,glycine
181,Digoxin,increase_adverse_effects,Chinese chestnut,glycine
38,Digoxin,increase_adverse_effects,Chinese cinnamon,glycine
260,Digoxin,increase_adverse_effects,Chinook salmon,glycine
7,Digoxin,increase_adverse_effects,Chives,glycine
393,Digoxin,increase_adverse_effects,Chocolate,glycine
257,Digoxin,increase_adverse_effects,Chum salmon,glycine
404,Digoxin,increase_adverse_effects,Cichlidae (Tilapia),glycine
182,Digoxin,increase_adverse_effects,Cisco,glycine
341,Digoxin,increase_adverse_effects,Clawed lobster,glycine
110,Digoxin,increase_adverse_effects,Cloves,glycine
305,Digoxin,increase_adverse_effects,"Clupeinae (Herring, Sardine, Sprat)",glycine
111,Digoxin,increase_adverse_effects,Cocoa bean,glycine
392,Digoxin,increase_adverse_effects,Cocoa powder,glycine
183,Digoxin,increase_adverse_effects,Coconut,glycine
43,Digoxin,increase_adverse_effects,Coffee,glycine
438,Digoxin,increase_adverse_effects,Coffee substitute,glycine
258,Digoxin,increase_adverse_effects,Coho salmon,glycine
458,Digoxin,increase_adverse_effects,Cold cut,glycine
247,Digoxin,increase_adverse_effects,Colorado pinyon,glycine
82,Digoxin,increase_adverse_effects,Common bean,glycine
19,Digoxin,increase_adverse_effects,Common beet,glycine
52,Digoxin,increase_adverse_effects,Common buckwheat,glycine
21,Digoxin,increase_adverse_effects,Common cabbage,glycine
174,Digoxin,increase_adverse_effects,Common carp,glycine
121,Digoxin,increase_adverse_effects,Common grape,glycine
225,Digoxin,increase_adverse_effects,Common ling,glycine
325,Digoxin,increase_adverse_effects,Common mushroom,glycine
186,Digoxin,increase_adverse_effects,Common octopus,glycine
74,Digoxin,increase_adverse_effects,Common oregano,glycine
87,Digoxin,increase_adverse_effects,Common pea,glycine
244,Digoxin,increase_adverse_effects,Common persimmon,glycine
62,Digoxin,increase_adverse_effects,Common walnut,glycine
113,Digoxin,increase_adverse_effects,Common wheat,glycine
498,Digoxin,increase_adverse_effects,Condensed milk,glycine
122,Digoxin,increase_adverse_effects,Corn,glycine
424,Digoxin,increase_adverse_effects,Corn chip,glycine
481,Digoxin,increase_adverse_effects,Corn grits,glycine
187,Digoxin,increase_adverse_effects,Corn salad,glycine
480,Digoxin,increase_adverse_effects,Cornbread,glycine
188,Digoxin,increase_adverse_effects,Cottonseed,glycine
436,Digoxin,increase_adverse_effects,Couscous,glycine
520,Digoxin,increase_adverse_effects,"Cow milk, pasteurized, vitamin A + D added, 0% fat",glycine
521,Digoxin,increase_adverse_effects,"Cow milk, pasteurized, vitamin A + D added, 1% fat",glycine
522,Digoxin,increase_adverse_effects,"Cow milk, pasteurized, vitamin A + D added, 2% fat",glycine
523,Digoxin,increase_adverse_effects,"Cow milk, pasteurized, vitamin D added, 3.25% fat",glycine
336,Digoxin,increase_adverse_effects,Crab,glycine
465,Digoxin,increase_adverse_effects,Cracker,glycine
317,Digoxin,increase_adverse_effects,Crayfish,glycine
370,Digoxin,increase_adverse_effects,Cream,glycine
416,Digoxin,increase_adverse_effects,Cream substitute,glycine
364,Digoxin,increase_adverse_effects,Crisp bread,glycine
47,Digoxin,increase_adverse_effects,Cucumber,glycine
48,Digoxin,increase_adverse_effects,Cucurbita,glycine
192,Digoxin,increase_adverse_effects,Cusk,glycine
193,Digoxin,increase_adverse_effects,Cuttlefish,glycine
138,Digoxin,increase_adverse_effects,Daikon radish,glycine
83,Digoxin,increase_adverse_effects,Date,glycine
309,Digoxin,increase_adverse_effects,Deer,glycine
10,Digoxin,increase_adverse_effects,Dill,glycine
194,Digoxin,increase_adverse_effects,Dock,glycine
195,Digoxin,increase_adverse_effects,Dolphin fish,glycine
319,Digoxin,increase_adverse_effects,Domestic pig,glycine
395,Digoxin,increase_adverse_effects,Dried milk,glycine
197,Digoxin,increase_adverse_effects,Dungeness crab,glycine
198,Digoxin,increase_adverse_effects,Eastern oyster,glycine
497,Digoxin,increase_adverse_effects,Edible shell,glycine
419,Digoxin,increase_adverse_effects,Egg roll,glycine
447,Digoxin,increase_adverse_effects,Egg substitute,glycine
106,Digoxin,increase_adverse_effects,Eggplant,glycine
355,Digoxin,increase_adverse_effects,Eggs,glycine
200,Digoxin,increase_adverse_effects,Elderberry,glycine
491,Digoxin,increase_adverse_effects,Empanada,glycine
446,Digoxin,increase_adverse_effects,Enchilada,glycine
36,Digoxin,increase_adverse_effects,Endive,glycine
329,Digoxin,increase_adverse_effects,Enokitake,glycine
201,Digoxin,increase_adverse_effects,European anchovy,glycine
202,Digoxin,increase_adverse_effects,European chestnut,glycine
92,Digoxin,increase_adverse_effects,European plum,glycine
471,Digoxin,increase_adverse_effects,Evaporated milk,glycine
72,Digoxin,increase_adverse_effects,Evening primrose,glycine
428,Digoxin,increase_adverse_effects,Falafel,glycine
324,Digoxin,increase_adverse_effects,Feijoa,glycine
54,Digoxin,increase_adverse_effects,Fennel,glycine
112,Digoxin,increase_adverse_effects,Fenugreek,glycine
53,Digoxin,increase_adverse_effects,Fig,glycine
318,Digoxin,increase_adverse_effects,Flatfish,glycine
66,Digoxin,increase_adverse_effects,Flaxseed,glycine
204,Digoxin,increase_adverse_effects,Florida pompano,glycine
248,Digoxin,increase_adverse_effects,French plantain,glycine
475,Digoxin,increase_adverse_effects,French toast,glycine
196,Digoxin,increase_adverse_effects,Freshwater drum,glycine
199,Digoxin,increase_adverse_effects,Freshwater eel,glycine
488,Digoxin,increase_adverse_effects,Frozen yogurt,glycine
377,Digoxin,increase_adverse_effects,Fruit preserve,glycine
487,Digoxin,increase_adverse_effects,Fruit-flavor drink,glycine
302,Digoxin,increase_adverse_effects,Gadus (Common cod),glycine
65,Digoxin,increase_adverse_effects,Garden cress,glycine
4,Digoxin,increase_adverse_effects,Garden onion,glycine
98,Digoxin,increase_adverse_effects,Garden rhubarb,glycine
104,Digoxin,increase_adverse_effects,Garden tomato,glycine
105,Digoxin,increase_adverse_effects,Garden tomato (var.),glycine
339,Digoxin,increase_adverse_effects,Garfish,glycine
6,Digoxin,increase_adverse_effects,Garlic,glycine
493,Digoxin,increase_adverse_effects,Gefilte fish,glycine
380,Digoxin,increase_adverse_effects,Gelatin,glycine
426,Digoxin,increase_adverse_effects,Gelatin dessert,glycine
123,Digoxin,increase_adverse_effects,Ginger,glycine
205,Digoxin,increase_adverse_effects,Ginkgo nuts,glycine
119,Digoxin,increase_adverse_effects,Gram bean,glycine
206,Digoxin,increase_adverse_effects,Grape,glycine
137,Digoxin,increase_adverse_effects,Grapefruit,glycine
280,Digoxin,increase_adverse_effects,Greater sturgeon,glycine
516,Digoxin,increase_adverse_effects,Green bean,glycine
510,Digoxin,increase_adverse_effects,Green bell pepper,glycine
525,Digoxin,increase_adverse_effects,Green tea,glycine
508,Digoxin,increase_adverse_effects,Green zucchini,glycine
207,Digoxin,increase_adverse_effects,Greenland halibut/turbot,glycine
208,Digoxin,increase_adverse_effects,Grouper,glycine
95,Digoxin,increase_adverse_effects,Guava,glycine
209,Digoxin,increase_adverse_effects,Haddock,glycine
408,Digoxin,increase_adverse_effects,Hamburger,glycine
129,Digoxin,increase_adverse_effects,Hard wheat,glycine
211,Digoxin,increase_adverse_effects,Hazelnut,glycine
420,Digoxin,increase_adverse_effects,Heart of palm,glycine
274,Digoxin,increase_adverse_effects,Hedge mustard,glycine
212,Digoxin,increase_adverse_effects,Hickory nut,glycine
115,Digoxin,increase_adverse_effects,Highbush blueberry,glycine
210,Digoxin,increase_adverse_effects,Hippoglossus (Common halibut),glycine
359,Digoxin,increase_adverse_effects,Honey,glycine
14,Digoxin,increase_adverse_effects,Horseradish,glycine
213,Digoxin,increase_adverse_effects,Horseradish tree,glycine
394,Digoxin,increase_adverse_effects,Hot chocolate,glycine
444,Digoxin,increase_adverse_effects,Hot dog,glycine
501,Digoxin,increase_adverse_effects,Hummus,glycine
454,Digoxin,increase_adverse_effects,Hushpuppy,glycine
214,Digoxin,increase_adverse_effects,Hyacinth bean,glycine
358,Digoxin,increase_adverse_effects,Ice cream,glycine
464,Digoxin,increase_adverse_effects,Ice cream cone,glycine
405,Digoxin,increase_adverse_effects,Icing,glycine
514,Digoxin,increase_adverse_effects,Italian sweet red pepper,glycine
216,Digoxin,increase_adverse_effects,Jackfruit,glycine
217,Digoxin,increase_adverse_effects,Japanese chestnut,glycine
50,Digoxin,increase_adverse_effects,Japanese persimmon,glycine
517,Digoxin,increase_adverse_effects,Japanese pumpkin,glycine
218,Digoxin,increase_adverse_effects,Jerusalem artichoke,glycine
298,Digoxin,increase_adverse_effects,Jicama,glycine
427,Digoxin,increase_adverse_effects,Junket,glycine
219,Digoxin,increase_adverse_effects,Jute,glycine
220,Digoxin,increase_adverse_effects,Kale,glycine
397,Digoxin,increase_adverse_effects,Kefir,glycine
221,Digoxin,increase_adverse_effects,Kelp,glycine
450,Digoxin,increase_adverse_effects,Ketchup,glycine
222,Digoxin,increase_adverse_effects,King mackerel,glycine
2,Digoxin,increase_adverse_effects,Kiwi,glycine
223,Digoxin,increase_adverse_effects,Lambsquarters,glycine
430,Digoxin,increase_adverse_effects,Lasagna,glycine
378,Digoxin,increase_adverse_effects,Leavening agent,glycine
5,Digoxin,increase_adverse_effects,Leek,glycine
40,Digoxin,increase_adverse_effects,Lemon,glycine
340,Digoxin,increase_adverse_effects,Lemon sole,glycine
64,Digoxin,increase_adverse_effects,Lentils,glycine
63,Digoxin,increase_adverse_effects,Lettuce,glycine
81,Digoxin,increase_adverse_effects,Lima bean,glycine
226,Digoxin,increase_adverse_effects,Lingcod,glycine
352,Digoxin,increase_adverse_effects,Liquor,glycine
126,Digoxin,increase_adverse_effects,Longan,glycine
51,Digoxin,increase_adverse_effects,Loquat,glycine
228,Digoxin,increase_adverse_effects,Lotus,glycine
310,Digoxin,increase_adverse_effects,Macadamia nut,glycine
452,Digoxin,increase_adverse_effects,Macaroni and cheese,glycine
331,Digoxin,increase_adverse_effects,Maitake,glycine
231,Digoxin,increase_adverse_effects,Malabar spinach,glycine
190,Digoxin,increase_adverse_effects,Malus (Crab apple),glycine
263,Digoxin,increase_adverse_effects,Mamey sapote,glycine
41,Digoxin,increase_adverse_effects,"Mandarin orange (Clementine, Tangerine)",glycine
68,Digoxin,increase_adverse_effects,Mango,glycine
499,Digoxin,increase_adverse_effects,Margarine,glycine
500,Digoxin,increase_adverse_effects,Margarine-like spread,glycine
343,Digoxin,increase_adverse_effects,Marine mussel,glycine
379,Digoxin,increase_adverse_effects,Marshmallow,glycine
366,Digoxin,increase_adverse_effects,Marzipan,glycine
374,Digoxin,increase_adverse_effects,Meat bouillon,glycine
435,Digoxin,increase_adverse_effects,Meatloaf,glycine
354,Digoxin,increase_adverse_effects,Milk (Cow),glycine
382,Digoxin,increase_adverse_effects,Milk (Human),glycine
396,Digoxin,increase_adverse_effects,Milk (Other mammals),glycine
504,Digoxin,increase_adverse_effects,Milk substitute,glycine
232,Digoxin,increase_adverse_effects,Milkfish,glycine
489,Digoxin,increase_adverse_effects,Milkshake,glycine
76,Digoxin,increase_adverse_effects,Millet,glycine
401,Digoxin,increase_adverse_effects,Miso,glycine
459,Digoxin,increase_adverse_effects,Mixed nuts,glycine
233,Digoxin,increase_adverse_effects,Monkfish,glycine
234,Digoxin,increase_adverse_effects,Mountain yam,glycine
482,Digoxin,increase_adverse_effects,Multigrain bread,glycine
120,Digoxin,increase_adverse_effects,Mung bean,glycine
46,Digoxin,increase_adverse_effects,Muskmelon,glycine
372,Digoxin,increase_adverse_effects,Mustard,glycine
413,Digoxin,increase_adverse_effects,Nachos,glycine
136,Digoxin,increase_adverse_effects,Napa cabbage,glycine
466,Digoxin,increase_adverse_effects,Natto,glycine
127,Digoxin,increase_adverse_effects,Nectarine,glycine
237,Digoxin,increase_adverse_effects,Nopal,glycine
164,Digoxin,increase_adverse_effects,Northern bluefin tuna,glycine
245,Digoxin,increase_adverse_effects,Northern pike,glycine
344,Digoxin,increase_adverse_effects,Norway lobster,glycine
448,Digoxin,increase_adverse_effects,Nutritional drink,glycine
16,Digoxin,increase_adverse_effects,Oat,glycine
478,Digoxin,increase_adverse_effects,Oat bread,glycine
238,Digoxin,increase_adverse_effects,Ocean pout,glycine
239,Digoxin,increase_adverse_effects,Okra,glycine
73,Digoxin,increase_adverse_effects,Olive,glycine
249,Digoxin,increase_adverse_effects,Opium poppy,glycine
512,Digoxin,increase_adverse_effects,Orange bell pepper,glycine
254,Digoxin,increase_adverse_effects,Orange roughy,glycine
320,Digoxin,increase_adverse_effects,Oriental wheat,glycine
391,Digoxin,increase_adverse_effects,Other animal fat,glycine
383,Digoxin,increase_adverse_effects,Other beverage,glycine
141,Digoxin,increase_adverse_effects,Other bread,glycine
474,Digoxin,increase_adverse_effects,Other bread product,glycine
390,Digoxin,increase_adverse_effects,Other candy,glycine
494,Digoxin,increase_adverse_effects,Other dish,glycine
399,Digoxin,increase_adverse_effects,Other fermented milk,glycine
381,Digoxin,increase_adverse_effects,Other fish product,glycine
429,Digoxin,increase_adverse_effects,Other frozen dessert,glycine
456,Digoxin,increase_adverse_effects,Other fruit product,glycine
468,Digoxin,increase_adverse_effects,Other pasta dish,glycine
449,Digoxin,increase_adverse_effects,Other sandwich,glycine
363,Digoxin,increase_adverse_effects,Other snack food,glycine
143,Digoxin,increase_adverse_effects,Other soy product,glycine
386,Digoxin,increase_adverse_effects,Other vegetable product,glycine
330,Digoxin,increase_adverse_effects,Oyster mushroom,glycine
184,Digoxin,increase_adverse_effects,Pacific cod,glycine
240,Digoxin,increase_adverse_effects,Pacific herring,glycine
215,Digoxin,increase_adverse_effects,Pacific jack mackerel,glycine
241,Digoxin,increase_adverse_effects,Pacific oyster,glycine
242,Digoxin,increase_adverse_effects,Pacific rockfish,glycine
265,Digoxin,increase_adverse_effects,Pacific sardine,glycine
155,Digoxin,increase_adverse_effects,Painted comber,glycine
135,Digoxin,increase_adverse_effects,Pak choy,glycine
431,Digoxin,increase_adverse_effects,Pancake,glycine
30,Digoxin,increase_adverse_effects,Papaya,glycine
80,Digoxin,increase_adverse_effects,Parsley,glycine
78,Digoxin,increase_adverse_effects,Parsnip,glycine
144,Digoxin,increase_adverse_effects,Pasta,glycine
365,Digoxin,increase_adverse_effects,Pastry,glycine
373,Digoxin,increase_adverse_effects,Pate,glycine
94,Digoxin,increase_adverse_effects,Peach,glycine
12,Digoxin,increase_adverse_effects,Peanut,glycine
96,Digoxin,increase_adverse_effects,Pear,glycine
33,Digoxin,increase_adverse_effects,Pecan nut,glycine
29,Digoxin,increase_adverse_effects,Pepper,glycine
243,Digoxin,increase_adverse_effects,Pepper (C. frutescens),glycine
85,Digoxin,increase_adverse_effects,Pepper (Spice),glycine
70,Digoxin,increase_adverse_effects,Peppermint,glycine
312,Digoxin,increase_adverse_effects,Perciformes,glycine
311,Digoxin,increase_adverse_effects,Percoidei (Bass and others),glycine
323,Digoxin,increase_adverse_effects,Persian lime,glycine
346,Digoxin,increase_adverse_effects,Persimmon,glycine
460,Digoxin,increase_adverse_effects,Phyllo dough,glycine
463,Digoxin,increase_adverse_effects,Pie,glycine
461,Digoxin,increase_adverse_effects,Pie crust,glycine
462,Digoxin,increase_adverse_effects,Pie filling,glycine
27,Digoxin,increase_adverse_effects,Pigeon pea,glycine
246,Digoxin,increase_adverse_effects,Pili nut,glycine
84,Digoxin,increase_adverse_effects,Pine nut,glycine
9,Digoxin,increase_adverse_effects,Pineapple,glycine
256,Digoxin,increase_adverse_effects,Pink salmon,glycine
86,Digoxin,increase_adverse_effects,Pistachio,glycine
472,Digoxin,increase_adverse_effects,Pita bread,glycine
361,Digoxin,increase_adverse_effects,Pizza,glycine
347,Digoxin,increase_adverse_effects,"Pleuronectidae (Dab, Halibut, Plaice)",glycine
421,Digoxin,increase_adverse_effects,Popcorn,glycine
77,Digoxin,increase_adverse_effects,Poppy,glycine
495,Digoxin,increase_adverse_effects,Pot pie,glycine
107,Digoxin,increase_adverse_effects,Potato,glycine
479,Digoxin,increase_adverse_effects,Potato bread,glycine
422,Digoxin,increase_adverse_effects,Potato chip,glycine
503,Digoxin,increase_adverse_effects,Potato gratin,glycine
502,Digoxin,increase_adverse_effects,Potato puffs,glycine
250,Digoxin,increase_adverse_effects,Prairie turnip,glycine
414,Digoxin,increase_adverse_effects,Processed cheese,glycine
89,Digoxin,increase_adverse_effects,"Prunus (Cherry, Plum)",glycine
432,Digoxin,increase_adverse_effects,Pudding,glycine
282,Digoxin,increase_adverse_effects,Pumpkinseed sunfish,glycine
490,Digoxin,increase_adverse_effects,Pupusa,glycine
327,Digoxin,increase_adverse_effects,Purple laver,glycine
88,Digoxin,increase_adverse_effects,Purslane,glycine
322,Digoxin,increase_adverse_effects,Quail,glycine
251,Digoxin,increase_adverse_effects,Quinoa,glycine
313,Digoxin,increase_adverse_effects,Rabbit,glycine
97,Digoxin,increase_adverse_effects,Radish,glycine
252,Digoxin,increase_adverse_effects,Rainbow smelt,glycine
253,Digoxin,increase_adverse_effects,Rainbow trout,glycine
484,Digoxin,increase_adverse_effects,Raisin bread,glycine
168,Digoxin,increase_adverse_effects,Rapini,glycine
467,Digoxin,increase_adverse_effects,Ravioli,glycine
139,Digoxin,increase_adverse_effects,Red beetroot,glycine
513,Digoxin,increase_adverse_effects,Red bell pepper,glycine
149,Digoxin,increase_adverse_effects,Red king crab,glycine
455,Digoxin,increase_adverse_effects,Relish,glycine
75,Digoxin,increase_adverse_effects,Rice,glycine
483,Digoxin,increase_adverse_effects,Rice bread,glycine
45,Digoxin,increase_adverse_effects,Robusta coffee,glycine
403,Digoxin,increase_adverse_effects,Roe,glycine
519,Digoxin,increase_adverse_effects,Romaine lettuce,glycine
100,Digoxin,increase_adverse_effects,Rosemary,glycine
102,Digoxin,increase_adverse_effects,Rye,glycine
477,Digoxin,increase_adverse_effects,Rye bread,glycine
255,Digoxin,increase_adverse_effects,Sablefish,glycine
229,Digoxin,increase_adverse_effects,Sacred lotus,glycine
31,Digoxin,increase_adverse_effects,Safflower,glycine
415,Digoxin,increase_adverse_effects,Salad,glycine
367,Digoxin,increase_adverse_effects,Salad dressing,glycine
287,Digoxin,increase_adverse_effects,"Salmonidae (Salmon, Trout)",glycine
262,Digoxin,increase_adverse_effects,Sapodilla,glycine
368,Digoxin,increase_adverse_effects,Sauce,glycine
371,Digoxin,increase_adverse_effects,Sausage,glycine
1,Digoxin,increase_adverse_effects,Savoy cabbage,glycine
266,Digoxin,increase_adverse_effects,Scallop,glycine
342,Digoxin,increase_adverse_effects,"Scombridae (Bonito, Mackerel, Tuna)",glycine
267,Digoxin,increase_adverse_effects,Scup,glycine
269,Digoxin,increase_adverse_effects,Sea trout,glycine
440,Digoxin,increase_adverse_effects,Semolina,glycine
103,Digoxin,increase_adverse_effects,Sesame,glycine
130,Digoxin,increase_adverse_effects,Shallot,glycine
271,Digoxin,increase_adverse_effects,Shark,glycine
272,Digoxin,increase_adverse_effects,Sheefish,glycine
273,Digoxin,increase_adverse_effects,Sheepshead,glycine
326,Digoxin,increase_adverse_effects,Shiitake,glycine
316,Digoxin,increase_adverse_effects,Shrimp,glycine
275,Digoxin,increase_adverse_effects,Skipjack tuna,glycine
304,Digoxin,increase_adverse_effects,Smelt,glycine
406,Digoxin,increase_adverse_effects,Snack bar,glycine
276,Digoxin,increase_adverse_effects,Snapper,glycine
307,Digoxin,increase_adverse_effects,Snow crab,glycine
259,Digoxin,increase_adverse_effects,Sockeye salmon,glycine
505,Digoxin,increase_adverse_effects,Soft-necked garlic,glycine
108,Digoxin,increase_adverse_effects,Sorghum,glycine
101,Digoxin,increase_adverse_effects,Sorrel,glycine
385,Digoxin,increase_adverse_effects,Soup,glycine
526,Digoxin,increase_adverse_effects,Sour cream,glycine
56,Digoxin,increase_adverse_effects,Soy bean,glycine
434,Digoxin,increase_adverse_effects,Soy milk,glycine
400,Digoxin,increase_adverse_effects,Soy sauce,glycine
264,Digoxin,increase_adverse_effects,Spanish mackerel,glycine
69,Digoxin,increase_adverse_effects,Spearmint,glycine
277,Digoxin,increase_adverse_effects,Spelt,glycine
109,Digoxin,increase_adverse_effects,Spinach,glycine
306,Digoxin,increase_adverse_effects,Spiny lobster,glycine
278,Digoxin,increase_adverse_effects,Spirulina,glycine
332,Digoxin,increase_adverse_effects,Spot croaker,glycine
445,Digoxin,increase_adverse_effects,Spread,glycine
315,Digoxin,increase_adverse_effects,Squid,glycine
17,Digoxin,increase_adverse_effects,Star fruit,glycine
425,Digoxin,increase_adverse_effects,Stew,glycine
55,Digoxin,increase_adverse_effects,Strawberry,glycine
279,Digoxin,increase_adverse_effects,Strawberry guava,glycine
159,Digoxin,increase_adverse_effects,Striped bass,glycine
235,Digoxin,increase_adverse_effects,Striped mullet,glycine
496,Digoxin,increase_adverse_effects,Stuffing,glycine
469,Digoxin,increase_adverse_effects,Succotash,glycine
507,Digoxin,increase_adverse_effects,Sunburst squash (pattypan squash),glycine
57,Digoxin,increase_adverse_effects,Sunflower,glycine
59,Digoxin,increase_adverse_effects,Swamp cabbage,glycine
20,Digoxin,increase_adverse_effects,Swede,glycine
71,Digoxin,increase_adverse_effects,Sweet basil,glycine
91,Digoxin,increase_adverse_effects,Sweet cherry,glycine
418,Digoxin,increase_adverse_effects,Sweet custard,glycine
42,Digoxin,increase_adverse_effects,Sweet orange,glycine
60,Digoxin,increase_adverse_effects,Sweet potato,glycine
283,Digoxin,increase_adverse_effects,Swordfish,glycine
388,Digoxin,increase_adverse_effects,Syrup,glycine
411,Digoxin,increase_adverse_effects,Taco,glycine
528,Digoxin,increase_adverse_effects,Taco shell,glycine
389,Digoxin,increase_adverse_effects,Tallow,glycine
470,Digoxin,increase_adverse_effects,Tamale,glycine
441,Digoxin,increase_adverse_effects,Tapioca pearl,glycine
284,Digoxin,increase_adverse_effects,Taro,glycine
28,Digoxin,increase_adverse_effects,Tea,glycine
285,Digoxin,increase_adverse_effects,Teff,glycine
350,Digoxin,increase_adverse_effects,Thunnus,glycine
286,Digoxin,increase_adverse_effects,Tilefish,glycine
402,Digoxin,increase_adverse_effects,Tofu,glycine
417,Digoxin,increase_adverse_effects,Topping,glycine
412,Digoxin,increase_adverse_effects,Tortilla,glycine
423,Digoxin,increase_adverse_effects,Tortilla chip,glycine
442,Digoxin,increase_adverse_effects,Tostada,glycine
486,Digoxin,increase_adverse_effects,Trail mix,glycine
132,Digoxin,increase_adverse_effects,Triticale,glycine
345,Digoxin,increase_adverse_effects,True oyster,glycine
348,Digoxin,increase_adverse_effects,True sole,glycine
203,Digoxin,increase_adverse_effects,Turbot,glycine
288,Digoxin,increase_adverse_effects,Turkey,glycine
26,Digoxin,increase_adverse_effects,Turnip,glycine
387,Digoxin,increase_adverse_effects,Unclassified food or beverage,glycine
114,Digoxin,increase_adverse_effects,"Vaccinium (Blueberry, Cranberry, Huckleberry)",glycine
457,Digoxin,increase_adverse_effects,Vegetarian food,glycine
433,Digoxin,increase_adverse_effects,Waffle,glycine
328,Digoxin,increase_adverse_effects,Wakame,glycine
290,Digoxin,increase_adverse_effects,Walleye,glycine
351,Digoxin,increase_adverse_effects,Walnut,glycine
99,Digoxin,increase_adverse_effects,Watercress,glycine
39,Digoxin,increase_adverse_effects,Watermelon,glycine
128,Digoxin,increase_adverse_effects,Welsh onion,glycine
333,Digoxin,increase_adverse_effects,Wheat,glycine
476,Digoxin,increase_adverse_effects,Wheat bread,glycine
292,Digoxin,increase_adverse_effects,Whelk,glycine
375,Digoxin,increase_adverse_effects,Whey,glycine
527,Digoxin,increase_adverse_effects,White bread,glycine
518,Digoxin,increase_adverse_effects,White cabbage,glycine
230,Digoxin,increase_adverse_effects,White lupine,glycine
236,Digoxin,increase_adverse_effects,White mustard,glycine
281,Digoxin,increase_adverse_effects,White sucker,glycine
293,Digoxin,increase_adverse_effects,Whitefish,glycine
294,Digoxin,increase_adverse_effects,Whiting,glycine
49,Digoxin,increase_adverse_effects,Wild carrot,glycine
11,Digoxin,increase_adverse_effects,Wild celery,glycine
224,Digoxin,increase_adverse_effects,Wild leek,glycine
295,Digoxin,increase_adverse_effects,Wild rice,glycine
296,Digoxin,increase_adverse_effects,Winged bean,glycine
148,Digoxin,increase_adverse_effects,Winter squash,glycine
485,Digoxin,increase_adverse_effects,Wonton wrapper,glycine
297,Digoxin,increase_adverse_effects,Yam,glycine
321,Digoxin,increase_adverse_effects,Yardlong bean,glycine
